유물 ID	유물 영어 이름	유물 이름	유물 종류	유물 등급	유물 설명	유물 설명2	유물 적용 대상	유물 발동 조건	유물 발동 타입	발동 가능 역할군	공격력	방어력	최대 체력	치명타 데미지	공격 속도	명중률	회피율	마나 회복량	피해 흡혈	몬스터 방어력	몬스터 최대 체력	몬스터 공격력	몬스터 공격 속도	추가 보상	상점 할인
1003	SharpKnife	날카로운 주방칼	Buf	Normal	살짝 스쳤을 뿐인데도 날끝의 차가움이 전해진다.	모든 아군 캐릭터의 치명타 데미지 20% 증가	Character	TRUE	None	None	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
1004	Torch	초벌용 토치	Buf	Normal	불꽃이 순간의 맛과 승부를 결정한다.	모든 아군 캐릭터의 공격 속도 20% 증가	Character	TRUE	None	None	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
1005	PrecisionScale	정밀 계량 저울	Buf	Normal	한 치의 오차조차 허락하지 않는 저울추	모든 아군 캐릭터의 명중률 10%, 회피율 10% 증가	Character	TRUE	None	None	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0
1006	RoastGrounds	진한 원두 가루	Buf	Normal	깊고 쓴 향이 정신을 날카롭게 깨운다	모든 아군 캐릭터의 마나 회복 속도 10% 증가	Character	TRUE	None	None	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
1007	Mitts	두꺼운 오븐 장갑	Buf	Normal	화염조차 막아내는 두터운 방패	모든 아군 캐릭터의 방어력 20% 증가	Character	TRUE	None	None	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
1008	MeatJuicer	육즙 추출기	Buf	Normal	고기의 숨결까지 짜내는 잔혹한 도구다.	모든 아군 캐릭터의 일반 공격 피해량의 10% 회복	Character	TRUE	None	None	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
1011	FryingNozzle	튀김 노즐	Buf	Normal	한 방울의 기름도 낭비 없는 정밀함을 자랑한다.	원거리 아군 캐릭터의 모든 스탯 5% 증가	Character	TRUE	ChaRole	Ranged	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0
1012	Cleaver	무쇠 도끼칼	Buf	Normal	도마 위를 울리는 묵직한 파열음이 매혹적이다.	근거리 아군 캐릭터의 모든 스탯 5% 증가	Character	TRUE	ChaRole	Melee	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0
1013	NoisyHood	소란한 주방 후드	Buf	Normal	끊임없는 굉음이 전장의 함성처럼 울려 퍼진다	전투 중인 아군 캐릭터 1명 당 모든 아군 캐릭터의 회피율 8% 증가	Character	FALSE	ChaNumber	None	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
1014	CouponBook	쿠폰북	Buf	Normal	낡은 종이 사이에서 끝없는 약속이 펼쳐진다	전투 스테이지 클리어 시, 보상 획득량 40% 증가	Currency	FALSE	Clear	None	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
1015	TradersCharm	상인의 부적	Buf	Normal	거래의 길목마다 알 수 없는 행운이 따라 붙는다	상점 할인율 30%	Shop	TRUE	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
1016	TokenOfValor	원거리의 증표	Buf	Normal	가까이 설수록 더 강해지는 힘의 증명	원거리 아군 캐릭터의 최대 체력 10% , 방어력 10%, 회피율 10% 증가	Character	TRUE	ChaRole	Ranged	0	10	10	0	0	10	0	0	0	0	0	0	0	0	0
1017	MarkOfPrecision	근접의 징표	Buf	Normal	멀리서 겨눌수록 날카롭게 빛나는 징표.	근거리 아군 캐릭터의 공격력 10%, 치명타 데미지 10%, 공격 속도 10% 증가	Character	TRUE	ChaRole	Melee	10	0	0	10	10	0	0	0	0	0	0	0	0	0	0
1018	BloodstainedCleaver	피로 물든 도끼칼	Buf	Normal	휘두를수록 붉게 물들어 힘이 증폭된다.	적 몬스터 처치 할 경우, 공격력 10% 상승, 중첩 가능	Character	FALSE	MonKill	None	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	MadBrew	광란의 조리주	Buf	Normal	취한 듯한 격정이 손끝을 가속시킨다.	적 몬스터 처치 할 경우, 공격속도 10% 상승, 중첩 가능	Character	FALSE	MonKill	None	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
1201	SeasoningJar	무맛 양념통	Debuff	Debuff	아무 향도, 아무 맛도 없는 공허만이 남았다.	모든 아군 캐릭터의 공격력 10% 감소	Character	TRUE	None	None	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	TornApron	찢어진 앞치마	Debuff	Debuff	흔적처럼 남은 얼룩이 방심을 불러온다	모든 아군 캐릭터의 방어력 10% 감소	Character	TRUE	None	None	0	-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	KimchiFridge	묵은지 냉장고	Debuff	Debuff	차가운 문틈마다 오래된 향이 스며든다	모든 아군 캐릭터의 최대 체력 10% 감소	Character	TRUE	None	None	0	0	-10	0	0	0	0	0	0	0	0	0	0	0	0
1204	DullBlade	둔한 칼날	Debuff	Debuff	내리친 힘마저 무력하게 흩어진다	모든 아군 캐릭터의 치명타 데미지 10% 감소	Character	TRUE	None	None	0	0	0	-10	0	0	0	0	0	0	0	0	0	0	0
1205	ColdFrypan	식은 후라이팬	Debuff	Debuff	한때의 열기는 사라지고 차가움만이 남았다.	모든 아군 캐릭터의 공격 속도 10% 감소	Character	TRUE	None	None	0	0	0	0	-10	0	0	0	0	0	0	0	0	0	0
1206	TornGloves	찢어진 장갑	Debuff	Debuff	낡고 해진 틈새로 세월의 상처가 보인다.	모든 아군 캐릭터의 명중률 10% 감소	Character	TRUE	None	None	0	0	0	0	0	-10	0	0	0	0	0	0	0	0	0
1207	SluggishBody	둔중한 육신	Debuff	Debuff	움직임 하나마다 무게가 발목을 잡는다	모든 아군 캐릭터의 회피율 10% 감소	Character	TRUE	None	None	0	0	0	0	0	0	-10	0	0	0	0	0	0	0	0
1208	CorruptedScale	타락의 저울	Debuff	Debuff	기울어진 눈금이 모든 가치를 왜곡한다	디버프 유물 개수 당 모든 능력치 3% 감소	Character	TRUE	RelicNumber	None	-3	-3	-3	-3	-3	-3	-3	-3	0	0	0	0	0	0	0
1209	LeakingManaCrystal	마력 누수 결정	Debuff	Debuff	손가락 사이로 힘이 새어나간다	모든 아군 캐릭터의 마나 회복 속도 5% 감소	Character	TRUE	None	None	0	0	0	0	0	0	0	-5	0	0	0	0	0	0	0
1210	HeavyCoin	무거운 동전	Debuff	Debuff	주머니에 담았으나 발걸음이 더뎌진다	전투 스테이지 클리어 시, 보상 획득량 15% 감소	Currency	TRUE	Clear	None	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	0
